"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"2.102.968.017","BAET",,,"8200","Brugge","Brugge","Rijselstraat","Rijselstraat","1","","",
"2.102.968.215","BAET",,,"8300","Knokke-Heist","Knokke-Heist","Lippenslaan","Lippenslaan","176","","",
"2.102.968.314","BAET",,,"8700","Tielt","Tielt","Kortrijkstraat","Kortrijkstraat","29","","",
"2.102.968.413","BAET",,,"6000","Charleroi","Charleroi","Rue de la Montagne","Rue de la Montagne","56","","",
"2.102.968.710","BAET",,,"6001","Charleroi","Charleroi","Avenue Eugène Mascaux","Avenue Eugène Mascaux","223","","",
"2.102.969.007","BAET",,,"6200","Châtelet","Châtelet","Rue du Trieu-Kaisin","Rue du Trieu-Kaisin","11","","",
"2.102.969.205","BAET",,,"9200","Dendermonde","Dendermonde","Oude Vest (DEN)","Oude Vest (DEN)","5/7","","",
"2.102.969.403","BAET",,,"5500","Dinant","Dinant","Rue Saint-Jacques","Rue Saint-Jacques","337","","",
"2.102.969.502","BAET",,,"9000","Gent","Gent","Keizer Karelstraat","Keizer Karelstraat","1","","",
"2.102.969.601","BAET",,,"9800","Deinze","Deinze","Tolpoortstraat","Tolpoortstraat","73","","91DTOA",
"2.102.969.797","BAET",,,"9900","Eeklo","Eeklo","Stationsstraat","Stationsstraat","36","","",
"2.102.969.896","BAET",,,"9000","Gent","Gent","Kortrijksesteenweg","Kortrijksesteenweg","543","","",
"2.102.969.995","BAET",,,"9000","Gent","Gent","Kouter","Kouter","1","","",
"2.102.970.094","BAET",,,"3500","Hasselt","Hasselt","Demerstraat","Demerstraat","65","","",
"2.102.970.193","BAET",,,"3910","Neerpelt","Neerpelt","Kerkstraat","Kerkstraat","22","","",
"2.102.970.292","BAET",,,"3800","Sint-Truiden","Sint-Truiden","Luikerstraat","Luikerstraat","23","","11STLA",
"2.102.970.490","BAET",,,"4500","Huy","Huy","Grand'Place","Grand'Place","26","","",
"2.102.970.589","BAET",,,"8900","Ieper","Ieper","Menenstraat","Menenstraat","14","","",
"2.102.970.688","BAET",,,"8500","Kortrijk","Kortrijk","Steenpoort(Kor)","Steenpoort(Kor)","2","","",
"2.102.970.787","BAET",,,"8800","Roeselare","Roeselare","Ooststraat","Ooststraat","23","","",
