"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"0401.681.453","REGO","Frankrijk","France","","F92154 Suresnes Cedex","F92154 Suresnes Cedex","rue Benoît Malon","rue Benoît Malon","2","","",
"0401.681.552","REGO","Frankrijk","France","","Levalloix-Perret","Levalloix-Perret","Rue Antonin Raynaud","Rue Antonin Raynaud","13","","",
"0401.681.651","REGO","Nederland","Pays-Bas","","Rotterdam","Rotterdam","Teilingerststraat  53A","Teilingerststraat  53A","","","",
"0401.689.272","REGO","Nederland","Pays-Bas","","La Haye","La Haye","Postbus","Postbus","1032","","",
"0401.785.183","REGO","Frankrijk","France","42000","Saint-Etienne","Saint-Etienne","rue Jules Ledin","rue Jules Ledin","39","","",
"0401.795.378","REGO","Frankrijk","France","","Quiévrechain","Quiévrechain","Boîte Postale","Boîte Postale","26","","",
"0401.798.150","REGO","Frankrijk","France","","Crespin","Crespin","Boîte postale","Boîte postale","1","","",
"0401.823.983","REGO","Congo (Dem. Rep.)","Congo (Rép. dém.)","","Lubumbashi","Lubumbashi","Square Frère Orban","Square Frère Orban","10","","",
"0401.824.082","REGO","Nederland","Pays-Bas","","Waddinxveen","Waddinxveen","","","","","",
"0401.826.656","REGO","Duitsland (Bondsrep.)","Allemagne (Rép.féd.)","","Hamburg","Hamburg","Schanenburgerstrasse","Schanenburgerstrasse","15","","",
"0401.826.755","REGO","Nederland","Pays-Bas","","Hengelo","Hengelo","Drienerparkweg","Drienerparkweg","16","","",
"0401.829.725","REGO","Groot-Brittannië","Grande-Bretagne","","Middlesex","Middlesex","Bealine House Ruislijn","Bealine House Ruislijn","","","",
"0401.829.824","REGO","Groot-Brittannië","Grande-Bretagne","","London Hanuslav Middlesex","London Hanuslav Middlesex","Heathrow Airport","Heathrow Airport","","","",
"0401.834.178","REGO","Polen ( Rep. )","Pologne ( Rép. )","","Warszawa","Warszawa","Rutkowskiego","Rutkowskiego","8","","",
"0401.837.247","REGO","Congo (Dem. Rep.)","Congo (Rép. dém.)","","Léopoldville BP2030","Léopoldville BP2030","Rue Inga  64 quartier Moulaert B","Rue Inga  64 quartier Moulaert B","","","",
"0401.837.346","REGO","Frankrijk","France","","Paris","Paris","rue Auber","rue Auber","6","","",
"0401.844.373","REGO","Groot-Brittannië","Grande-Bretagne","","London W.C.T.","London W.C.T.","Rockdale House Theobald Road","Rockdale House Theobald Road","","","",
"0401.846.848","REGO","Frankrijk","France","","Bordeaux","Bordeaux","Rue Eugène Delacroix","Rue Eugène Delacroix","11","","",
"0401.852.489","REGO","Luxemburg (Groot-Hertogdom)","Luxembourg (Grand-Duché)","","Luxembourg","Luxembourg","Rue Notre-Dame","Rue Notre-Dame","37","","",
"0401.862.486","REGO","Nederland","Pays-Bas","","Amsterdam","Amsterdam","Keizersgracht","Keizersgracht","684","","",
"0401.873.770","REGO","Verenigde Staten van Amerika","Etats-Unis d'Amérique","","Cincinnati (Ohio)","Cincinnati (Ohio)","Marburg Avenue","Marburg Avenue","4701","","",
"0401.874.265","REGO","Verenigde Staten van Amerika","Etats-Unis d'Amérique","","Delaware-Wilmington New Castle","Delaware-Wilmington New Castle","Orange Street","Orange Street","1209","","",
"0401.880.106","REGO","Congo (Dem. Rep.)","Congo (Rép. dém.)","","Kinshasa","Kinshasa","Route des Poids Lourds, sn","Route des Poids Lourds, sn","","","",
"0401.888.519","REGO","Frankrijk","France","","...","...","","","","","",
